j60/J6010_1.RCP,0,36,33,7,29,5,3,1,21,58,19,52,49,41,38,10,8,32,6,28,27,26,23,60,55,53,50,48,47,16,14,44,42,39,11,35,24,59,57,54,51,18,17,46,15,13,43,40,37,9,34,31,30,4,2,25,22,20,56,45,12,
BestTime:,0,32,32,9,13,8,0,0,22,71,40,50,1,47,58,23,9,17,7,26,50,18,8,39,67,61,58,57,55,18,13,50,50,40,31,47,25,76,7,65,65,9,37,37,22,18,42,42,44,25,28,42,16,1,0,24,42,45,67,57,18,
85,0,39,42,18,16,17,1,9,32,79,44,56,7,50,61,24,13,25,17,31,58,26,9,40,76,67,59,65,57,25,22,55,60,42,37,50,28,85,8,71,67,13,40,45,25,27,50,47,45,32,30,43,23,7,1,32,50,50,69,65,22,

j60/J6010_2.RCP,61,22,35,51,39,21,40,24,10,52,44,54,7,56,12,30,2,26,5,28,8,57,43,27,14,55,16,60,47,33,15,36,18,3,20,41,25,11,53,59,46,32,49,1,50,38,48,6,29,9,58,13,31,45,34,17,37,19,4,23,42,
BestTime:,63,34,47,33,35,20,34,35,16,43,26,37,11,51,14,11,1,20,48,31,38,46,30,23,16,53,10,56,36,23,48,44,25,0,33,42,29,9,41,55,41,27,41,2,30,17,31,9,52,13,58,38,34,40,30,21,29,27,8,19,30,
63,63,36,51,37,41,29,41,41,21,53,31,46,20,55,21,17,8,23,55,41,47,56,36,29,19,56,17,63,41,30,58,51,34,9,34,51,31,13,46,63,48,29,43,9,33,26,37,11,58,16,63,48,35,44,37,26,38,30,11,27,34,

j60/J6010_3.RCP,0,1,3,7,2,6,8,11,9,12,5,4,10,14,30,18,29,24,13,16,15,26,17,20,21,27,23,34,19,22,28,32,38,43,25,33,40,31,47,55,36,41,39,45,37,44,48,50,51,35,42,49,52,53,56,46,54,59,58,57,60,
BestTime:,0,0,0,4,0,8,3,3,8,18,6,4,8,10,28,12,18,41,21,30,30,37,30,31,37,18,34,38,13,19,18,18,20,23,25,6,40,20,38,26,40,51,41,40,10,48,52,44,57,28,48,53,62,53,63,57,27,60,71,67,48,
